speaker	text	url	time	seconds_in	seconds_spoken	words_per_min	num_words
Vice President Joe Biden 	He’s elected to the next election.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=481.48#	8:01	481	1		6
President Donald J. Trump 	During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=482.36#	8:02	482	22	180	66
Vice President Joe Biden 	That’s simply not true.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=504.31#	8:24	504	1	240	4
President Donald J. Trump 	Well, you’re certainly going to socialist. You’re going to socialist-	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=505.23#	8:25	505	4	150	10
Chris Wallace 	Gentlemen, we’re now into open discussion.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=509.42#	8:29	509	2	180	6
Vice President Joe Biden 	Open discussion.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=511.05#	8:31	511	1	120	2
Chris Wallace 	Open discussion, yes, I agree. Go ahead, Vice President.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=512.29#	8:32	512	1		9
Vice President Joe Biden 	Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=513.93#	8:33	513	25	160.8	67
President Donald J. Trump 	That’s not what you’ve said and it’s not what your party is saying.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=538.73#	8:58	538	2		13
Vice President Joe Biden 	That is simply a lie.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=540.94#	9:00	540	2	150	5
President Donald J. Trump 	Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=542.01#	9:02	542	3		15
Vice President Joe Biden 	The party is me. Right now, I am the Democratic Party.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=545.16#	9:05	545	3	220	11
President Donald J. Trump 	And they’re going to dominate you, Joe. You know that.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=548.21#	9:08	548	1		10
Vice President Joe Biden 	I am the Democratic Party right now.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=549.74#	9:09	549	2	210	7
President Donald J. Trump 	Not according to Harris.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=551.87#	9:11	551	1	240	4
Vice President Joe Biden 	The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=552.26#	9:12	552	27	166.666666666667	75
President Donald J. Trump 	Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=579.6#	9:39	579	8	172.5	23
Vice President Joe Biden 	I’m happy to talk about this.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=587.49#	9:47	587	1		6
President Donald J. Trump 	And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=588.13#	9:48	588	10	246	41
Chris Wallace 	All right, gentlemen, Mr. President.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=598.74#	9:58	598	2	150	5
President Donald J. Trump 	You would have been much later, Joe, much later.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=600.03#	10:00	600	4	135	9
Chris Wallace 	Mr. President.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=604#	10:04	604	0		2
President Donald J. Trump 	We’re talking about two million people.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=604.82#	10:04	604	1		6
Vice President Joe Biden 	You’re not going to be able to shut him up.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=605.86#	10:05	605	1		10
Chris Wallace 	Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=606.53#	10:06	606	5	228	19
Vice President Joe Biden 	Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=611.53#	10:11	611	14	180	42
President Donald J. Trump 	You don’t know what’s on the ballot. Why is it on the ballot? Why is it on the ballot? It’s not on the ballot.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=625.97#	10:25	625	6	240	24
Vice President Joe Biden 	It’s on the ballot in the court.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=631.19#	10:31	631	1		7
President Donald J. Trump 	I don’t think so.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=632.16#	10:32	632	1	240	4
Vice President Joe Biden 	In the court.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=633.04#	10:33	633	1	180	3
President Donald J. Trump 	There’s nothing happening there.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=634#	10:34	634	1	240	4
Vice President Joe Biden 	Donald would you just be quiet for a minute.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=635.74#	10:35	635	1		9
President Donald J. Trump 	You don’t know her view on Roe V. Wade? You don’t know here view.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=636.7#	10:36	636	4	210	14
Chris Wallace 	Well, all right. All right. Let’s talk. We’ve got a lot to unpack here, gentlemen. We’ve got a lot of time. On healthcare, and then we’ll come back to Roe V. Wade.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=640.9#	10:40	640	11	174.545454545455	32
Vice President Joe Biden 	All right.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=651.44#	10:51	651	0		2
Chris Wallace 	Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=651.94#	10:51	651	14	141.428571428571	33
President Donald J. Trump 	That’s right.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=665.85#	11:05	665	0		2
Chris Wallace 	You have spent the last week-	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=665.91#	11:05	665	2	180	6
President Donald J. Trump 	Because they want to give good healthcare.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=667.2#	11:07	667	1		7
Chris Wallace 	If I may ask my question, sir.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=668.87#	11:08	668	3	140	7
Vice President Joe Biden 	Good healthcare.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=671.13#	11:11	671	0		2
Chris Wallace 	Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=671.86#	11:11	671	14	137.142857142857	32
President Donald J. Trump 	Yes, I have. Of course, I have. The individual mandate.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=685.77#	11:25	685	1		10
Chris Wallace 	[crosstalk 00:11:26] when I finish I’m going to give an opportunity-	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=686#	11:26	686	2		11
President Donald J. Trump 	Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=688.55#	11:28	688	3		16
Chris Wallace 	That’s not a comprehensive place.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=691.98#	11:31	691	1		5
President Donald J. Trump 	That is absolutely a big thing. That was the worst part of Obamacare.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=692.66#	11:32	692	3		13
Chris Wallace 	I didn’t ask, sir.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=695.7#	11:35	695	1	240	4
President Donald J. Trump 	Chris, that was the worst part of Obamacare.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=696.24#	11:36	696	2	240	8
Chris Wallace 	You’re debating him not me. Let me ask my question.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=698.09#	11:38	698	0		10
President Donald J. Trump 	Well, I’ll ask Joe. The individual mandate was the most unpopular aspect of Obamacare.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=698.66#	11:38	698	6	140	14
Chris Wallace 	Mr. President.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=704.22#	11:44	704	0		2
President Donald J. Trump 	I got rid of it. And we will protect people.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=704.22#	11:44	704	2		10
Chris Wallace 	Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=706.84#	11:46	706	6	240	24
President Donald J. Trump 	Go ahead.	https://www.rev.com/transcript-editor/shared/C-8bDp99BJeCjsjMD_TLZx3mzKMYLQlRNcIpn01gIDIitp25MT_XakH7HIktIkzYjsjgbemzC1JlO5zsFuPOVzteEGE?loadFrom=PastedDeeplink&ts=712.01#	11:52	712	1	120	2
